Run,NTPs_mM_each,MgCl2_mM,T7_uL,PEG8000_pct,NTPs_mM_each_coded,MgCl2_mM_coded,T7_uL_coded,PEG8000_pct_coded,is_center
1,10.0,30.0,0.19999999999999996,0.0,1.0,-1.0,-1.0,-1.0,False
2,10.0,60.0,0.19999999999999996,2.0,1.0,1.0,-1.0,1.0,False
3,10.0,30.0,0.19999999999999996,2.0,1.0,-1.0,-1.0,1.0,False
4,7.5,45.0,1.2,1.0,0.0,0.0,1.0,0.0,False
5,5.0,30.0,0.19999999999999996,0.0,-1.0,-1.0,-1.0,-1.0,False
6,10.0,30.0,1.2,2.0,1.0,-1.0,1.0,1.0,False
7,5.0,45.0,0.7,1.0,-1.0,0.0,0.0,0.0,False
8,10.0,45.0,0.7,1.0,1.0,0.0,0.0,0.0,False
9,10.0,60.0,0.19999999999999996,0.0,1.0,1.0,-1.0,-1.0,False
10,7.5,45.0,0.7,1.0,0.0,0.0,0.0,0.0,True
11,5.0,30.0,0.19999999999999996,2.0,-1.0,-1.0,-1.0,1.0,False
12,5.0,60.0,0.19999999999999996,0.0,-1.0,1.0,-1.0,-1.0,False
13,5.0,60.0,0.19999999999999996,2.0,-1.0,1.0,-1.0,1.0,False
14,5.0,30.0,1.2,0.0,-1.0,-1.0,1.0,-1.0,False
15,10.0,60.0,1.2,2.0,1.0,1.0,1.0,1.0,False
16,7.5,45.0,0.7,0.0,0.0,0.0,0.0,-1.0,False
17,5.0,30.0,1.2,2.0,-1.0,-1.0,1.0,1.0,False
18,7.5,45.0,0.7,1.0,0.0,0.0,0.0,0.0,True
19,7.5,45.0,0.7,2.0,0.0,0.0,0.0,1.0,False
20,7.5,30.0,0.7,1.0,0.0,-1.0,0.0,0.0,False
21,7.5,45.0,0.7,1.0,0.0,0.0,0.0,0.0,True
22,7.5,45.0,0.19999999999999996,1.0,0.0,0.0,-1.0,0.0,False
23,5.0,60.0,1.2,2.0,-1.0,1.0,1.0,1.0,False
24,10.0,30.0,1.2,0.0,1.0,-1.0,1.0,-1.0,False
25,10.0,60.0,1.2,0.0,1.0,1.0,1.0,-1.0,False
26,7.5,60.0,0.7,1.0,0.0,1.0,0.0,0.0,False
27,5.0,60.0,1.2,0.0,-1.0,1.0,1.0,-1.0,False
